209,185,173,fair
181,152,138,fair
192,148,137,fair
255,224,189,fair
255,205,148,fair
234,192,134,fair
255,173,96,fair
255,227,159,fair
253,245,226,fair
253,241,203,fair
251,229,186,fair
253,220,180,fair
255,214,164,fair
240,223,214,fair
238,218,208,fair
238,215,203,fair
242,212,197,fair
240,207,190,fair
179,103,43,brown
145,91,65,brown
101,67,32,brown
185,128,51,brown
192,154,107,brown
198,136,99,brown
176,108,73,brown
277,203,199,brown
126,84,59,brown
154,122,101,brown
91,53,40,tan
236,190,120,tan
201,127,177,tan
219,167,102,tan
214,144,86,tan
184,106,63,tan
247,193,155,tan
247,193,155,tan
235,171,127,tan
211,153,114,tan
189,137,102,tan
83,46,27,dark
96,65,45,dark
92,63,49,dark
97,80,73,dark
92,65,56,dark
99,68,61,dark
127,88,77,dark
188,145,123,dark
213,168,145,dark
